feature,correlation
need_training_has_exp,0.021937227332465236
requires_job_training,0.014157298810142166
region_of_employment,0.008293318018265397
education_of_employee,0.007569508708397309
region_median_wage,0.007325644551354866
has_job_experience,0.0038271615900870746
annual_wage_log,0.003612900539981819
wage_per_month_log,0.0036129005399818124
wage_per_hour_log,0.0036129005399818124
wage_per_week_log,0.003612900539981812
full_time_position,0.0035165209563055764
wage_vs_region_log,0.0031133436146221463
no_of_employees,0.0016052528069793637
continent,0.0014371940062957664
yr_of_estab,0.0008372384515799463
need_training_no_exp,0.0001593228207075813
age_of_estab_log,9.97343942098682e-05
